number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;145.0;319.0;28205614147947;1.0
2;321.0;312.0;28205822735594;1.0
3;584.0;290.0;28206032574461;1.0
10;156.0;990.0;28206342022703;1.0
