number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;156.0;319.0;28202406384275;1.0
2;333.0;303.0;28202616375731;1.0
3;590.0;269.0;28202828564451;1.0
8;350.0;774.0;28203080883787;1.0
