Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
username;9-0;1280x720;1;2;0;160;240;160;144.0;308.0;404.0;291.0;260.55518;103973389;2.5059794E-6;1.0
username;9-1;1280x720;2;3;240;160;480;160;404.0;291.0;631.0;274.0;227.63568;100280762;2.2699835E-6;1.0
username;9-2;1280x720;3;4;480;160;0;412;631.0;274.0;124.0;578.0;591.15564;123657226;4.7805993E-6;1.0
