number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;103.0;315.0;28198604290770;1.0
2;353.0;304.0;28198827435301;1.0
3;552.0;276.0;28199047894285;1.0
6;575.0;581.0;28199290905760;1.0
