number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;144.0;308.0;28209950817869;1.0
2;404.0;291.0;28210128155516;1.0
3;631.0;274.0;28210316387938;1.0
4;124.0;578.0;28210524151609;1.0
