Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
username;7-0;1280x720;1;2;0;160;240;160;145.0;319.0;321.0;312.0;176.13914;137207031;1.2837473E-6;1.0
username;7-1;1280x720;2;3;240;160;480;160;321.0;312.0;584.0;290.0;263.91855;136169434;1.9381628E-6;1.0
username;7-2;1280x720;3;10;480;160;0;916;584.0;290.0;156.0;990.0;820.4779;212951660;3.8528833E-6;1.0
