number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;183.0;279.0;28204013714598;1.0
2;381.0;275.0;28204208905027;1.0
3;576.0;264.0;28204408337400;1.0
9;572.0;798.0;28204675549315;1.0
