number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;140.0;317.0;28212680706785;1.0
2;411.0;299.0;28212846386717;1.0
3;594.0;310.0;28213012799070;1.0
6;592.0;601.0;28213201947020;1.0
