number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;178.0;290.0;28207258587645;1.0
2;387.0;291.0;28207488781736;1.0
3;617.0;276.0;28207688366697;1.0
11;333.0;975.0;28208023144529;1.0
