number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;130.0;318.0;28200283428953;1.0
2;349.0;296.0;28200514477537;1.0
3;570.0;279.0;28200745220945;1.0
7;128.0;795.0;28201369671629;1.0
