number_of_activated_point;xpoint;ypoint;timestamp;pressure
1;154.0;316.0;28196788311766;1.0
2;352.0;322.0;28197005322264;1.0
3;574.0;294.0;28197204846190;1.0
4;124.0;598.0;28197470989988;1.0
